base_model,correction,dataset,role,n,domain,rmse,mae,bias_observed_minus_pred,r2,spearman
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_ubuntu_irc_val_loss,0.42263125536735785,0.341204093083044,-0.09733846840022004,0.8204562274013161,0.874198186083772
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_hackernews_val_loss,0.1905601220617557,0.1519855095479032,-0.03302079773184041,0.6789075313140285,0.8479500457770656
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_pubmed_abstracts_val_loss,0.29915535233263724,0.23712178897520325,-0.052123582686296493,0.7248476155644573,0.8868963149462118
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,metric/the_pile_uspto_backgrounds_val_loss,0.2082317556165388,0.16625461575680883,-0.035254647323434,0.8333484090911039,0.907503147173266
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_arxiv_val_loss,0.43720301576891657,0.3499363805123738,-0.10788427868759569,0.411474068257638,0.9220566777294573
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_freelaw_val_loss,0.28912866261158376,0.22725180733014405,-0.030942436775858048,0.7985434233330351,0.9175898374914166
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_pubmed_central_val_loss,0.3434018755751107,0.27368249687508023,-0.08943528600400527,0.6355005848049604,0.9357554646372165
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_wikipedia_en_val_loss,0.23735849130115078,0.19191328339996006,-0.03415627148241388,0.7752735181725484,0.8945453765163651
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_dm_mathematics_val_loss,0.7438486564354831,0.5950471915380415,-0.0744343524994438,0.06251677072089368,0.9064517051956968
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_github_val_loss,0.47254953656060156,0.37997688775224164,-0.07303121129187923,0.5257205538868293,0.9054889562829022
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_stackexchange_val_loss,0.336310598283911,0.27033489900881835,-0.05559602705767738,0.6345336207342592,0.9005014019226366
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_gutenberg_pg_19_val_loss,0.20978522988256046,0.16668440460614048,-0.03268083417188565,0.7029065349205501,0.8745951590753032
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_pile_cc_val_loss,0.18445976330559014,0.14670513626041898,-0.027937223046241765,0.6545207987483304,0.8338900492103455
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_ubuntu_irc_val_loss,0.4593286010088726,0.3615247399785602,-0.09733846840022,0.5726217856016116,0.8676585030899517
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_hackernews_val_loss,0.18561531046881133,0.14601410796826159,-0.0330207977318404,0.6368947525577948,0.8348971446555274
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_pubmed_abstracts_val_loss,0.28794063206476117,0.2264775309506882,-0.052123582686296493,0.7229167861794485,0.8896679732204165
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,metric/the_pile_uspto_backgrounds_val_loss,0.20110302566278682,0.16062206500647055,-0.03525464732343399,0.7835562535559157,0.9047636758983747
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_arxiv_val_loss,0.3381009099939309,0.27258948709235686,0.22058303158340772,-9.384866782892937,0.7768315018315017
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_freelaw_val_loss,0.7093395409711307,0.6919060878658794,-0.6919060878658794,-25.2127364244173,0.8831501831501831
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_pubmed_central_val_loss,0.17543945713839243,0.1458436906177745,0.03993923752214465,-10.208674527598385,0.8147435897435897
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_wikipedia_en_val_loss,0.8323748815362076,0.8179329065982768,-0.8179329065982768,-26.677053528988996,0.9376831501831501
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_dm_mathematics_val_loss,1.1253392286339094,0.9892439841135982,-0.46183425153733065,-13.330566623771064,0.9347069597069597
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_github_val_loss,0.4578369295948436,0.38870180298433493,0.3628545959239018,-13.548993124530321,0.8442765567765566
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_stackexchange_val_loss,0.42283593642420686,0.3637275017667899,-0.36041156342886216,-9.71171797693002,0.8749084249084248
