axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,0,9,12,0.0001967976784437209,0.0018854139458656953,2.3855781852659437,2.3846751408879086,2.385121952165348,2.384218907787313,0.0,-0.0,True,False
Q_A_topsis_0_1,0,9,13,0.00020348687641240658,0.0018758457175461155,2.3855781852659437,2.3846444462035663,2.3853147309745744,2.384380991912197,0.0,-0.0,True,False
Q_A_topsis_0_1,0,9,14,0.0001925140159875051,0.0018724961447158528,2.3855781852659437,2.384694797305246,2.38518907496243,2.3843056870017327,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,9,15,0.0002057619128890874,0.0018823296728773004,2.3855781852659437,2.3846340067567375,2.385508552751677,2.3845643742424714,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,9,16,0.00020602611152755495,0.00188111181035182,2.3855781852659437,2.3846327944299612,2.3855516796483633,2.384606288812381,0.0,-0.0,True,False
Q_A_topsis_0_1,0,10,11,0.001,0.001871510358693605,2.3855781852659437,2.385252300352736,2.385446222744704,2.3851203378314962,0.0,-0.0,True,False
Q_A_topsis_0_1,0,10,12,0.001,0.0018552257902328332,2.3855781852659437,2.385252300352736,2.3832599002932566,2.382934015380049,0.0,-0.0,True,False
Q_A_topsis_0_1,0,10,13,0.001,0.0018461787774508931,2.3855781852659437,2.385252300352736,2.3842834860892004,2.3839576011759926,0.0,-0.0,True,False
Q_A_topsis_0_1,0,10,14,0.001,0.0018127194570174859,2.3855781852659437,2.385252300352736,2.3835569802044962,2.383231095291289,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,10,15,0.001,0.0018683825409427212,2.3855781852659437,2.385252300352736,2.3852397722268694,2.3849138873136617,0.0,-0.0,True,False
Q_A_topsis_0_1,0,10,16,0.001,0.0018707523167493811,2.3855781852659437,2.385252300352736,2.3854495335266876,2.38512364861348,0.0,-0.0,True,False
Q_A_topsis_0_1,0,11,12,0.001,0.00185850988539155,2.3855781852659437,2.385446222744704,2.3832599002932566,2.383127937772017,0.0,-0.0,True,False
Q_A_topsis_0_1,0,11,13,0.001,0.0018490042240712622,2.3855781852659437,2.385446222744704,2.3842834860892004,2.3841515235679607,0.0,-0.0,True,False
Q_A_topsis_0_1,0,11,14,0.001,0.001826654541493812,2.3855781852659437,2.385446222744704,2.3835569802044962,2.383425017683257,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,11,15,0.001,0.0018750881774570103,2.3855781852659437,2.385446222744704,2.3852397722268694,2.38510780970563,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,11,16,0.001,0.0018781969281941467,2.3855781852659437,2.385446222744704,2.3854495335266876,2.3853175710054484,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,12,13,0.000979800872921985,0.0018254127718766654,2.3855781852659437,2.383306727626023,2.3843096378823994,2.382038180242479,0.0,-0.0,True,False
Q_A_topsis_0_1,0,12,14,0.001,0.0018101416104737017,2.3855781852659437,2.3832599002932566,2.3835569802044962,2.381238695231809,0.0,-0.0,True,False
Q_A_topsis_0_1,0,12,15,0.001,0.0018565358736490724,2.3855781852659437,2.3832599002932566,2.3852397722268694,2.3829214872541824,0.0,-0.0,True,False
Q_A_topsis_0_1,0,12,16,0.001,0.0018569871261110693,2.3855781852659437,2.3832599002932566,2.3854495335266876,2.3831312485540006,0.0,-0.0,True,False
Q_A_topsis_0_1,0,13,14,0.0005903303731249064,0.001865626508018335,2.3855781852659437,2.384813885017852,2.384385006527858,2.3836207062797663,0.0,-0.0,True,False
Q_A_topsis_0_1,0,13,15,0.001,0.0018456068460152764,2.3855781852659437,2.3842834860892004,2.3852397722268694,2.3839450730501266,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,13,16,0.001,0.001847233458260272,2.3855781852659437,2.3842834860892004,2.3854495335266876,2.3841548343499444,0.0,-0.0,True,False
Q_A_topsis_0_1,0,14,15,0.001,0.001822683317818443,2.3855781852659437,2.3835569802044962,2.3852397722268694,2.3832185671654225,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,14,16,0.001,0.0018250403498995572,2.3855781852659437,2.3835569802044962,2.3854495335266876,2.3834283284652407,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,15,16,0.001,0.0018757492303822436,2.3855781852659437,2.3852397722268694,2.3854495335266876,2.385111120487614,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,0,2,0.0005156482544246566,0.0018473033366562645,2.3855781852659437,2.385499145410605,2.384325803621422,2.384246763766083,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,0,3,0.001,0.0018523324459310494,2.3855781852659437,2.385424902762492,2.3853655532062974,2.3852122707028456,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,4,0.001,0.0018535419647677674,2.3855781852659437,2.385424902762492,2.3852717231214324,2.3851184406179806,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,5,0.001,0.0018350440414748425,2.3855781852659437,2.385424902762492,2.384023168692148,2.383869886188696,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,6,0.001,0.00185515223864049,2.3855781852659437,2.385424902762492,2.385646732669553,2.385493450166101,0.0,-0.0,True,False
