mapping_id,grid,N_params_B,D_tokens_B,Q_A_baseline_p05,Q_A_upper_p95,q_baseline,q_upper,delta_q,L_at_baseline_q,L_at_upper_q,delta_L_upper_minus_baseline,relative_loss_reduction,G_times_delta_q,base_L_at_Q1,epsilon_q_at_baseline,epsilon_q_at_upper
M2_minmax_observed,cell_02,0.07,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,3.162252725455181,3.0376121032630903,-0.1246406221920906,0.039415136301020844,0.12464062219209056,2.94302465495048,-0.04522705075071783,-0.08811526211833293
M2_minmax_observed,cell_03,0.07,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,3.105426142228187,2.9807855200360964,-0.1246406221920906,0.04013639883338497,0.12464062219209056,2.886198071723486,-0.04605466623596426,-0.08979511772776141
M2_minmax_observed,cell_04,0.07,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,3.0587151186067754,2.9340744964146848,-0.1246406221920906,0.04074933995450468,0.12464062219209056,2.8394870481020744,-0.04675798789849433,-0.09122467306808911
M2_minmax_observed,cell_05,0.16,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,3.295907852990633,3.1712672307985423,-0.1246406221920906,0.03781678000463347,0.12464062219209056,3.076679782485932,-0.04339301063013175,-0.08440158687776354
M2_minmax_observed,cell_06,0.16,50.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,3.044846269720014,2.9202056475279234,-0.1246406221920906,0.04093494749853227,0.12464062219209056,2.825618199215313,-0.04697096399349858,-0.09165792379020744
M2_minmax_observed,cell_07,0.16,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.928526779437971,2.80388615724588,-0.1246406221920906,0.042560861340667354,0.12464062219209056,2.70929870893327,-0.048836625126646396,-0.09546036168449759
M2_minmax_observed,cell_08,0.16,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.871700196210977,2.7470595740188863,-0.1246406221920906,0.043403076113776036,0.12464062219209056,2.652472125706276,-0.04980302772882144,-0.09743508630985649
M2_minmax_observed,cell_09,0.16,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.8249891725895653,2.7003485503974747,-0.1246406221920906,0.04412074332937604,0.12464062219209056,2.6057611020848643,-0.05062651775392703,-0.09912053266362592
M2_minmax_observed,cell_10,0.41,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,3.08787892122463,2.963238299032539,-0.1246406221920906,0.04036447845651249,0.12464062219209056,2.868650850719929,-0.0463163770825693,-0.09032685180271714
M2_minmax_observed,cell_11,0.41,50.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.836817337954011,2.7121767157619203,-0.1246406221920906,0.043936781027284884,0.12464062219209056,2.61758926744931,-0.05041542949815256,-0.09868825476501268
M2_minmax_observed,cell_12,0.41,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.7204978476719677,2.595857225479877,-0.1246406221920906,0.04581537246895831,0.12464062219209056,2.5012697771672667,-0.05257102652117306,-0.10311044231000319
M2_minmax_observed,cell_13,0.41,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.663671264444974,2.539030642252883,-0.1246406221920906,0.04679279453730257,0.12464062219209056,2.444443193940273,-0.053692573257743216,-0.10541817898477703
M2_minmax_observed,cell_14,0.41,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.616960240823562,2.4923196186314716,-0.1246406221920906,0.04762801522458972,0.12464062219209056,2.397732170318861,-0.054650950469063604,-0.1073939251980127
M2_minmax_observed,cell_15,0.7,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.9918160332538455,2.867175411061755,-0.1246406221920906,0.041660523510375636,0.12464062219209056,2.7725879627491445,-0.0478035289974738,-0.0933531955039087
M2_minmax_observed,cell_16,0.7,50.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.7407544499832266,2.616113827791136,-0.1246406221920906,0.045476756297104036,0.12464062219209056,2.5215263794785256,-0.052182480083771285,-0.1023120568568078
M2_minmax_observed,cell_17,0.7,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.6244349597011833,2.4997943375090927,-0.1246406221920906,0.0474923646826752,0.12464062219209056,2.4052068891964824,-0.054495297729550654,-0.1070728030208902
M2_minmax_observed,cell_18,0.7,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.5676083764741895,2.442967754282099,-0.1246406221920906,0.04854347077775376,0.12464062219209056,2.3483803059694885,-0.05570139348787676,-0.10956345462345389
M2_minmax_observed,cell_19,0.7,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.520897352852778,2.3962567306606872,-0.1246406221920906,0.04944295810023396,0.12464062219209056,2.301669282348077,-0.05673351369856815,-0.11169921121892876
M2_minmax_observed,cell_20,1.0,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.935285139945957,2.8106445177538664,-0.1246406221920906,0.04246286689353301,0.12464062219209056,2.716057069441256,-0.04872418101888066,-0.0952308216148049
M2_minmax_observed,cell_21,1.0,50.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.684223556675338,2.5595829344832475,-0.1246406221920906,0.046434516187045784,0.12464062219209056,2.464995486170637,-0.05328146537760816,-0.10457171873076482
M2_minmax_observed,cell_22,1.0,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.567904066393295,2.4432634442012042,-0.1246406221920906,0.048537881077135574,0.12464062219209056,2.348675995888594,-0.05569497956426099,-0.10955019497717572
M2_minmax_observed,cell_23,1.0,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.511077483166301,2.3864368609742104,-0.1246406221920906,0.04963631071826868,0.12464062219209056,2.2918494126616,-0.05695537690872819,-0.11215883858900062
M2_minmax_observed,cell_24,1.0,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.4643664595448893,2.3397258373527987,-0.1246406221920906,0.05057714598790181,0.12464062219209056,2.2451383890401884,-0.05803494198146552,-0.11439801297218753
M2_minmax_observed,cell_25,2.8,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.8003888738373925,2.675748251645302,-0.1246406221920906,0.04450832645299532,0.12464062219209056,2.5811608033326916,-0.05107125150971508,-0.10003182718264517
M2_minmax_observed,cell_26,2.8,50.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.549327290566773,2.4246866683746826,-0.1246406221920906,0.04889157333909063,0.12464062219209056,2.3300992200620723,-0.05610082511961844,-0.11038951555429873
M2_minmax_observed,cell_27,2.8,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.4330078002847304,2.30836717809264,-0.1246406221920906,0.05122902695893706,0.12464062219209056,2.2137797297800295,-0.05878294532554312,-0.1159520847606273
M2_minmax_observed,cell_28,2.8,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.376181217057736,2.2515405948656455,-0.1246406221920906,0.05245417365365114,0.12464062219209056,2.156953146553035,-0.06018874464374751,-0.11887859686083949
M2_minmax_observed,cell_29,2.8,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.329470193436325,2.2048295712442343,-0.1246406221920906,0.05350599571665977,0.12464062219209056,2.110242122931624,-0.061395661942246965,-0.12139713208844588
M2_minmax_observed,cell_30,4.0,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.7619935225624257,2.637352900370335,-0.1246406221920906,0.045127050868843416,0.12464062219209056,2.5427654520577248,-0.051781209236172195,-0.10148811964271569
M2_minmax_observed,cell_31,4.0,50.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.5109319392918064,2.3862913170997158,-0.1246406221920906,0.04963918784164447,0.12464062219209056,2.2917038687871054,-0.056958678275084995,-0.11216567934302345
M2_minmax_observed,cell_32,4.0,150.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.3946124490097636,2.269971826817673,-0.1246406221920906,0.0520504360710364,0.12464062219209056,2.1753843785050626,-0.0597254743914405,-0.11791335184458507
M2_minmax_observed,cell_33,4.0,300.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.3377858657827693,2.2131452435906787,-0.1246406221920906,0.05331567104430103,0.12464062219209056,2.1185577952780683,-0.061177273160076005,-0.12094099448194713
M2_minmax_observed,cell_34,4.0,600.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.291074842161358,2.1664342199692674,-0.1246406221920906,0.05440268466939601,0.12464062219209056,2.071846771656657,-0.062424571152741304,-0.12354863315288879
M2_minmax_observed,cell_35,6.9,10.0,42.88931989600419,68.9340289627691,0.39481125518142657,0.7388871827037635,0.34407592752233696,2.710212390861278,2.5855717686691873,-0.1246406221920906,0.045989245201731616,0.12464062219209056,2.490984320356577,-0.052770537461570365,-0.10352061773578784
