Q0,cost_family,Lctx,budget_flops,feasible_grid_points,frontier_points,best_N_B,best_D_B,best_Q,best_loss,best_total_cost_flops,best_quality_cost_flops,best_base_train_attn_cost_flops,Q_on_lower_bound,Q_on_upper_bound
0.3,logarithmic,2048,1e+19,1008,46,0.44126140091018634,2.1061238994135967,0.9,3.2708814100371644,9.816412956785461e+18,3.8596436184226673e+18,5.956769338362794e+18,False,False
0.3,logarithmic,2048,1e+22,3315,136,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.537589062868903e+21,3.4972744321370817e+20,9.187861619655196e+21,False,True
0.3,logarithmic,2048,1e+24,3375,141,11.965825,299.893,1.0,2.0219298975598545,2.3607383152156545e+22,6.067440644119889e+20,2.3000639087744557e+22,False,True
0.3,logarithmic,4096,1e+19,993,44,0.44126140091018634,2.1061238994135967,0.85,3.2889937817874375,9.981015134695694e+18,3.6435835520441134e+18,6.33743158265158e+18,False,False
0.3,logarithmic,4096,1e+22,3308,138,11.965825,99.63563236812982,1.0,2.1178869562689053,8.33158694249297e+21,2.0158299307852402e+20,8.130003949414447e+21,False,True
0.3,logarithmic,4096,1e+24,3375,145,11.965825,299.893,1.0,2.0219298975598545,2.5077219299551106e+22,6.067440644119889e+20,2.447047523513912e+22,False,True
0.3,logarithmic,8192,1e+19,948,48,0.3058062134494701,2.1061238994135967,1.0,3.3077828977291874,9.180745727245883e+18,4.26111371350926e+18,4.919632013736624e+18,False,True
0.3,logarithmic,8192,1e+22,3300,141,11.965825,99.63563236812982,1.0,2.1178869562689053,9.308255647819154e+21,2.0158299307852402e+20,9.10667265474063e+21,False,True
0.3,logarithmic,8192,1e+24,3375,148,11.965825,299.893,1.0,2.0219298975598545,2.8016891594340223e+22,6.067440644119889e+20,2.7410147529928236e+22,False,True
0.3,logarithmic,32768,1e+19,811,55,0.21193206564500142,2.1061238994135967,1.0,3.388788009663719,9.864478207951096e+18,4.26111371350926e+18,5.603364494441836e+18,False,True
0.3,logarithmic,32768,1e+22,3225,149,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,8.992489090514756e+21,3.4972744321370817e+20,8.642761647301048e+21,False,True
0.3,logarithmic,32768,1e+24,3375,160,11.965825,299.893,1.0,2.0219298975598545,4.5654925363074946e+22,6.067440644119889e+20,4.504818129866295e+22,False,True
0.3,logarithmic,131072,1e+19,535,85,0.14687471500960447,1.2139703865863611,1.0,3.65836967718851,8.199984698859615e+18,2.45610709964288e+18,5.743877599216735e+18,False,True
0.3,logarithmic,131072,1e+22,3060,188,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.061075369586341e+21,2.0158299307852402e+20,8.859492376507817e+21,False,True
0.3,logarithmic,131072,1e+24,3375,208,11.965825,299.893,1.0,2.0219298975598545,1.162070604380138e+23,6.067440644119889e+20,1.1560031637360182e+23,False,True
0.5,exponential,2048,1e+19,746,66,0.3058062134494701,3.6539259348445197,0.75,3.2444444138082362,9.71729246674709e+18,2.555248663603684e+18,7.162043803143408e+18,False,False
0.5,exponential,2048,1e+22,2431,167,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.850502664387146e+21,6.626410447319505e+20,9.187861619655196e+21,False,True
0.5,exponential,2048,1e+24,2475,172,11.965825,299.893,1.0,2.0219298975598545,2.415025868016867e+22,1.1496195924241128e+21,2.3000639087744557e+22,False,True
0.5,exponential,4096,1e+19,737,64,0.3058062134494701,3.6539259348445197,0.7000000000000001,3.262556785558509,9.322486582240616e+18,1.7027585021115095e+18,7.619728080129107e+18,False,False
