block,alpha,fold,mean_target_r2,centered_relative_mean_target_r2,mean_target_spearman,mae,rmse
p_q_renorm_coverage,10.0,1,0.7652689412124214,0.7703355989471488,0.8785005356195447,0.2735065204214828,0.3714567661450948
p_q_renorm_coverage,10.0,2,0.7445843972016484,0.7507789949726043,0.8836624211355134,0.2825961334113082,0.38244354614131465
p_q_renorm_coverage,10.0,3,0.7358838088954202,0.7427245149979542,0.8734606228711435,0.2921788701492868,0.41491905516288075
p_q_renorm_coverage,10.0,4,0.7611313571041609,0.7654136595412262,0.8867147181264716,0.27708005307595174,0.39003662297284286
p_q_renorm_coverage,10.0,5,0.7258183141447377,0.7340434468168548,0.8757154545134257,0.2765528664531377,0.3868393059296095
p_q_renorm_coverage,100.0,1,0.7376030339221642,0.741310520162325,0.8749885948519697,0.29323836610294685,0.39662375259062965
p_q_renorm_coverage,100.0,2,0.7263671390195819,0.7323416273050479,0.8841955062027108,0.29914443331511653,0.4038381876941516
p_q_renorm_coverage,100.0,3,0.7094394859359843,0.719533142969166,0.8748751121652603,0.3061083667732728,0.4388893550639719
p_q_renorm_coverage,100.0,4,0.7354448881809597,0.7421709905336052,0.886230172900873,0.29618048854823803,0.4184845123659415
p_q_renorm_coverage,100.0,5,0.7126722324946513,0.72002582843514,0.8753309500435613,0.28258092446519073,0.39317959448437995
