block,dataset,role,alpha,target,r2,centered_relative_r2,spearman,mae,rmse,mean_residual
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_pubmed_central_val_loss,0.8728185429768087,0.882455981451457,0.9508082513160905,0.24185727712781394,0.2982022557544761,-0.0820880304291256
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_wikipedia_en_val_loss,0.8172642425315189,0.8210174909995359,0.9124556534676127,0.18846358421274245,0.2335608029792569,-0.03347278506124464
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_dm_mathematics_val_loss,0.8493942700421866,0.8514827784945824,0.8994413767452504,0.4849269382280116,0.5950787810782154,-0.07007640851101413
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_github_val_loss,0.7593036264901336,0.7663584833871283,0.9082906557564658,0.36215282553995676,0.451989205362851,-0.07738154450514907
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_stackexchange_val_loss,0.7067366604174963,0.7147286228736309,0.8937700274662391,0.28605297918916156,0.35960583318032063,-0.05936419150418922
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_gutenberg_pg_19_val_loss,0.720187048367916,0.7252148623903674,0.8779690718699931,0.1868986477084654,0.23732491163531794,-0.031812589677311424
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_pile_cc_val_loss,0.7257284263140605,0.73327212326759,0.8617275120164796,0.133251329307427,0.16784672571916656,-0.027836497597528726
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_ubuntu_irc_val_loss,0.8186396443750186,0.8281582788225794,0.8719608319981688,0.3434272195562105,0.4247639179197887,-0.0973114094512558
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_hackernews_val_loss,0.6795641820313074,0.6895731458570178,0.8542172121766993,0.15032254600010536,0.19036516968259048,-0.033644301990949046
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_pubmed_abstracts_val_loss,0.7643297885179621,0.7696073517254076,0.9034261272602425,0.22029947521223658,0.27686144601392315,-0.04143113765873388
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,metric/the_pile_uspto_backgrounds_val_loss,0.852752093354382,0.8559156636334674,0.9180032616159303,0.15655940985650302,0.1957342352718776,-0.02869002800313046
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_arxiv_val_loss,-8.463454574321469,0.42841246399948407,0.9207148374914166,1.6994047476244343,1.7531747136139495,-1.6994047476244343
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_freelaw_val_loss,-3.7119503627480857,0.8113933207724413,0.9257488841840235,1.3700304374342651,1.3983013465544412,-1.3700304374342651
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_pubmed_central_val_loss,-8.766275198756961,0.6556480353241738,0.9416592755779353,1.7459187363474973,1.7775373043860265,-1.7459187363474973
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_wikipedia_en_val_loss,-6.869232914950189,0.7908876758739397,0.9022595273517967,1.3857837033327862,1.404571481924806,-1.3857837033327862
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_dm_mathematics_val_loss,-3.1930422490706096,-0.007814265777818408,0.9058172636758981,1.4124777870304055,1.573140269819262,-1.371112500963719
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_github_val_loss,-12.937916956681285,0.5176282630786092,0.9074444953078505,2.5169862301469745,2.5617050586774144,-2.5169862301469745
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_stackexchange_val_loss,-8.537279583695456,0.6099057598295727,0.8957999542229341,1.6825213267151204,1.7180234814646533,-1.6825213267151204
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_gutenberg_pg_19_val_loss,-6.047216637842273,0.7124789299373557,0.8787980659189745,1.0006724130979552,1.0217324098934117,-1.0006724130979552
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_pile_cc_val_loss,-11.424734092515315,0.6994295294624335,0.8457649061570152,1.092739363856746,1.1062015052407512,-1.092739363856746
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_ubuntu_irc_val_loss,-7.73307622531294,0.5632271386862612,0.8656450274662393,2.0237628084423043,2.0763517286417716,-2.0237628084423043
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_hackernews_val_loss,-10.10780893864491,0.6429130686007098,0.8421985866330965,1.0099883155775893,1.026624759318832,-1.0099883155775893
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_pubmed_abstracts_val_loss,-5.631067123910965,0.7675298012081021,0.9052829594872968,1.3836945233122298,1.4086060766470594,-1.3836945233122298
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,metric/the_pile_uspto_backgrounds_val_loss,-9.76686470486764,0.799468289877363,0.9132016765850307,1.4051032233971101,1.4183738356821443,-1.4051032233971101
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_arxiv_val_loss,-553.1802543181301,-5.135486485052956,0.7923992673992674,2.4561443816819093,2.469854665015103,-2.4561443816819093
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_freelaw_val_loss,-454.20193683600684,-0.35485958731440004,0.8836080586080586,2.951567779343036,2.9559701210664264,-2.951567779343036
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_pubmed_central_val_loss,-2803.6591398684964,-9.301193878318273,0.8602564102564103,2.7700726793144526,2.775173816417536,-2.7700726793144526
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_wikipedia_en_val_loss,-376.95332339926154,-0.2925815942717376,0.9299450549450547,3.070677578972679,3.075941867937178,-3.070677578972679
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_dm_mathematics_val_loss,-93.6846806166038,-11.676986491568739,0.9339743589743589,2.692024930026574,2.892621676745302,-2.692024930026574
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_github_val_loss,-975.9792274471897,-4.902434688232531,0.82518315018315,3.7404266162773374,3.751776994171341,-3.7404266162773374
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_stackexchange_val_loss,-569.4586678085337,-2.1872884417082252,0.864102564102564,3.077072733206562,3.0857050924910565,-3.077072733206562
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_gutenberg_pg_19_val_loss,-121.89239491295932,0.7588008374911781,0.9251831501831501,2.6799698907677376,2.682603737932432,-2.6799698907677376
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_pile_cc_val_loss,-666.3933125876222,0.2061447703991489,0.7673534798534798,2.601605462356546,2.603154131165341,-2.601605462356546
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_ubuntu_irc_val_loss,-109.05578580670947,-0.6840606571173082,0.8843864468864469,4.401598132621725,4.435665979465089,-4.401598132621725
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_hackernews_val_loss,-145.32918851503692,0.8000830768301326,0.8455586080586079,2.379986129820996,2.3816135822712727,-2.379986129820996
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,metric/the_pile_pubmed_abstracts_val_loss,-613.7407437677435,-1.4598927484022437,0.8879578754578753,2.7983320018136384,2.8039476409242505,-2.7983320018136384
