cost_family,budget_flops,Lctx,N_B_min,N_B_p05,N_B_median,N_B_p95,N_B_max,D_B_min,D_B_p05,D_B_median,D_B_p95,D_B_max,Q_min,Q_p05,Q_median,Q_p95,Q_max,loss_min,loss_p05,loss_median,loss_p95,loss_max,quality_cost_flops_min,quality_cost_flops_p05,quality_cost_flops_median,quality_cost_flops_p95,quality_cost_flops_max,base_train_attn_cost_flops_min,base_train_attn_cost_flops_p05,base_train_attn_cost_flops_median,base_train_attn_cost_flops_p95,base_train_attn_cost_flops_max
power,1e+22,2048,9.447045801006789,9.512838895047176,10.061539018330805,10.522175344216235,10.61003060785273,136.97588335182405,138.0748076786941,143.9057211622748,151.60148939523216,152.55231130376885,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,2.039920596960548,2.0412546981492716,2.0503415954339133,2.061229373402795,2.061915633464336,6.848109288174444e+20,6.903050009896312e+20,7.19456652950793e+20,7.579316462314632e+20,7.626852803631924e+20,9.237314719641947e+21,9.24206835377458e+21,9.280543347058647e+21,9.309694999015303e+21,9.315189071186362e+21
power,1e+22,4096,9.162028191225907,9.22797511819171,9.769052388426086,10.22235473685129,10.308609238442143,132.80923600356004,133.8888654486631,139.63238860141124,147.24237657074357,148.19820040725037,0.9999999999999996,0.9999999999999996,1.0,1.0,1.0,2.045134838440495,2.046486192567731,2.055685483978425,2.0666496134885417,2.0674143756183896,6.639797753997984e+20,6.693773828105912e+20,6.980921268127543e+20,7.36138261665432e+20,7.409169029360475e+20,9.259083097065575e+21,9.2638617383361e+21,9.301907873196011e+21,9.330622617195351e+21,9.336020224604408e+21
power,1e+22,8192,8.663695206983013,8.72977624045635,9.25695910602605,9.697074534278045,9.780472313035116,125.4600310143115,126.50445927991724,132.08668783968386,139.5340405052894,140.49626476080164,0.9999999999999994,0.9999999999999996,1.0,1.0,1.0,2.0548328812722376,2.0562157848514926,2.065621246037107,2.076724360780546,2.077634183638856,6.272374250560489e+20,6.32459044169945e+20,6.603673958544989e+20,6.976004355061943e+20,7.024110756716278e+20,9.297588924333833e+21,9.302399564499884e+21,9.339632604148944e+21,9.367540955832131e+21,9.372762574946361e+21
power,1e+22,32768,6.798787395361156,6.863579849137114,7.331300607632068,7.717381409911893,7.789349664792372,97.29152085604147,98.18601690069252,103.05696291502387,109.72869556477863,110.68220839606201,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,2.0996419631920467,2.101161958684591,2.111473376329508,2.123169721609362,2.1247340920220408,4.864089585197791e+20,4.908809914950121e+20,5.152332860936617e+20,5.4858861347611076e+20,5.5335570087611204e+20,9.446644299132236e+21,9.4514113865307e+21,9.48476671390678e+21,9.509119008515415e+21,9.513591041489013e+21
power,1e+22,131072,4.33324179731248,4.3904873181211395,4.755159763164039,5.053535166046083,5.10781430991823,58.98150502195248,59.6228739528025,63.21747141118891,68.33079431386074,69.1599834026953,0.999999999999999,0.9999999999999992,1.0,1.0,1.0,2.195895620751518,2.1976668831618,2.209688320066275,2.2224122282547416,2.2253002065872765,2.9487803435725023e+20,2.9808455832703513e+20,3.1605574832023896e+20,3.4161980617214676e+20,3.4576533702177515e+20,9.654234662983554e+21,9.65838019383216e+21,9.683944251687283e+21,9.701915441682503e+21,9.705121965652251e+21
power,1e+24,2048,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.4993150534999975e+21,1.4993150534999977e+21,1.4993150534999993e+21,1.4993150534999993e+21,1.4993150534999993e+21,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22
power,1e+24,4096,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.4993150534999975e+21,1.4993150534999977e+21,1.4993150534999993e+21,1.4993150534999993e+21,1.4993150534999993e+21,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22
power,1e+24,8192,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.4993150534999975e+21,1.4993150534999977e+21,1.4993150534999993e+21,1.4993150534999993e+21,1.4993150534999993e+21,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22
power,1e+24,32768,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.4993150534999975e+21,1.4993150534999977e+21,1.4993150534999993e+21,1.4993150534999993e+21,1.4993150534999993e+21,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22
power,1e+24,131072,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.4993150534999975e+21,1.4993150534999977e+21,1.4993150534999993e+21,1.4993150534999993e+21,1.4993150534999993e+21,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23
