fold,cost_family,Lctx,budget_flops,loss,total_cost_flops,Q,pareto_flag
fold_4,power,4096,1e+22,2.0518916090766743,1.0000000000008766e+22,0.9999999999999996,True
fold_4,power,4096,1e+24,1.9714253094560028,2.5969790288639113e+22,1.0,True
fold_4,power,8192,1e+19,3.3457042487620003,1.0000000000000225e+19,0.5996212958125324,True
fold_4,power,8192,1e+22,2.0617473991685116,1.0000000000003444e+22,0.9999999999999998,True
fold_4,power,8192,1e+24,1.9714253094560028,2.890946258342823e+22,1.0,True
fold_4,power,32768,1e+19,3.4763374561924913,1.0000000000009744e+19,0.6408517664917845,True
fold_4,power,32768,1e+22,2.1072419406547684,1.000000000000044e+22,0.9999999999999999,True
fold_4,power,32768,1e+24,1.9714253094560028,4.654749635216294e+22,1.0,True
fold_4,power,131072,1e+19,3.7544936963737423,1.0000000000009738e+19,0.7270265066492785,True
fold_4,power,131072,1e+22,2.204751932802928,1.0000000000007522e+22,1.0,True
fold_4,power,131072,1e+24,1.9714253094560028,1.170996314271018e+23,1.0,True
fold_5,exponential,2048,1e+19,3.2640067155929016,1.0000000000007545e+19,0.6981558075876927,True
fold_5,exponential,2048,1e+22,2.038593217420348,1.0000000000028687e+22,0.9999999999999998,True
fold_5,exponential,2048,1e+24,1.9656902313733366,2.4205029392679665e+22,1.0,True
fold_5,exponential,4096,1e+19,3.279272177923435,1.000000000000847e+19,0.7019410878468454,True
fold_5,exponential,4096,1e+22,2.0438360745897652,1.0000000000002103e+22,1.0,True
fold_5,exponential,4096,1e+24,1.9656902313733366,2.5674865540074226e+22,1.0,True
fold_5,exponential,8192,1e+19,3.3076522289503973,1.000000000000616e+19,0.7088808644521848,True
fold_5,exponential,8192,1e+22,2.0535852271291946,1.0000000000006059e+22,0.9999999999999999,True
fold_5,exponential,8192,1e+24,1.9656902313733366,2.8614537834863343e+22,1.0,True
fold_5,exponential,32768,1e+19,3.4386269095597655,1.000000000000596e+19,0.7393858654205829,True
fold_5,exponential,32768,1e+22,2.0985989142625305,1.0000000000000025e+22,0.9999999999999999,True
fold_5,exponential,32768,1e+24,1.9656902313733366,4.625257160359806e+22,1.0,True
fold_5,exponential,131072,1e+19,3.719663461633472,1.000000000000095e+19,0.7977484611615505,True
fold_5,exponential,131072,1e+22,2.1951619200642956,1.0000000000009196e+22,0.9999999999999999,True
fold_5,exponential,131072,1e+24,1.9656902313733366,1.1680470667853692e+23,1.0,True
fold_5,logarithmic,2048,1e+19,3.3266871853194413,1.0000000000007545e+19,0.9999999999999999,True
fold_5,logarithmic,2048,1e+22,2.0377605874598506,1.0000000000001464e+22,1.0,True
fold_5,logarithmic,2048,1e+24,1.9656902313733366,2.402312312699587e+22,1.0,True
fold_5,logarithmic,4096,1e+19,3.339978201934491,1.000000000000099e+19,1.0,True
fold_5,logarithmic,4096,1e+22,2.043021784593184,1.0000000000001841e+22,1.0,True
fold_5,logarithmic,4096,1e+24,1.9656902313733366,2.549295927439043e+22,1.0,True
fold_5,logarithmic,8192,1e+19,3.3648031449074782,1.000000000001047e+19,1.0,True
fold_5,logarithmic,8192,1e+22,2.05280364530944,1.0000000000006323e+22,1.0,True
fold_5,logarithmic,8192,1e+24,1.9656902313733366,2.8432631569179547e+22,1.0,True
fold_5,logarithmic,32768,1e+19,3.4811898540962125,1.0000000000002736e+19,1.0,True
fold_5,logarithmic,32768,1e+22,2.0979476607907275,1.0000000000040827e+22,1.0,True
fold_5,logarithmic,32768,1e+24,1.9656902313733366,4.607066533791426e+22,1.0,True
fold_5,logarithmic,131072,1e+19,3.739404736002541,1.0000000000007735e+19,1.0,True
fold_5,logarithmic,131072,1e+22,2.1947059334732697,1.0000000000008592e+22,1.0,True
fold_5,logarithmic,131072,1e+24,1.9656902313733366,1.1662280041285311e+23,1.0,True
fold_5,power,2048,1e+19,3.291793892998622,1.0000000000001425e+19,0.5773600350588027,True
fold_5,power,2048,1e+22,2.039920596960548,1.000000000000966e+22,1.0,True
fold_5,power,2048,1e+24,1.9656902313733366,2.4499954141244552e+22,1.0,True
fold_5,power,4096,1e+19,3.3071698582944853,1.0000000000000016e+19,0.5821243122807308,True
fold_5,power,4096,1e+22,2.045134838440495,1.000000000000117e+22,1.0,True
fold_5,power,4096,1e+24,1.9656902313733366,2.5969790288639113e+22,1.0,True
fold_5,power,8192,1e+19,3.3357342194243165,1.0000000000000123e+19,0.5909519529044661,True
fold_5,power,8192,1e+22,2.0548328812722376,1.000000000000855e+22,1.0,True
fold_5,power,8192,1e+24,1.9656902313733366,2.890946258342823e+22,1.0,True
fold_5,power,32768,1e+19,3.4672285140707624,1.000000000000121e+19,0.6312194112815095,True
fold_5,power,32768,1e+22,2.0996419631920467,1.000000000000066e+22,1.0,True
fold_5,power,32768,1e+24,1.9656902313733366,4.654749635216294e+22,1.0,True
fold_5,power,131072,1e+19,3.747834015779259,1.0000000000006306e+19,0.7153165616134493,True
