N_params_B,D_tokens_B,perturbed_parameter,relative_change,baseline_loss,perturbed_loss,delta,observed_joint_row
10000.0,100.0,beta,-0.1,2.047052999163782,2.094072224304843,0.04701922514106105,False
10000.0,100.0,beta,0.1,2.047052999163782,2.0057197218220892,-0.041333277341692565,False
10000.0,1000.0,alpha,-0.1,1.8846823901098737,1.8903652326660496,0.005682842556175904,False
10000.0,1000.0,alpha,0.1,1.8846823901098737,1.8805273521932535,-0.004155037916620197,False
10000.0,1000.0,beta,-0.1,1.8846823901098737,1.922952357962548,0.038269967852674336,False
10000.0,1000.0,beta,0.1,1.8846823901098737,1.8531399956316383,-0.03154239447823537,False
10000.0,10000.0,alpha,-0.1,1.7994451672909804,1.8051280098471563,0.005682842556175904,False
10000.0,10000.0,alpha,0.1,1.7994451672909804,1.7952901293743602,-0.004155037916620197,False
10000.0,10000.0,beta,-0.1,1.7994451672909804,1.827142517576504,0.02769735028552356,False
10000.0,10000.0,beta,0.1,1.7994451672909804,1.7780415600946744,-0.021403607196305963,False
10000.0,36000.0,alpha,-0.1,1.771066848259251,1.776749690815427,0.005682842556175904,False
10000.0,36000.0,alpha,0.1,1.771066848259251,1.766911810342631,-0.004155037916620197,False
10000.0,36000.0,beta,-0.1,1.771066848259251,1.7935282050812236,0.022461356821972478,False
10000.0,36000.0,beta,0.1,1.771066848259251,1.7543206956205137,-0.016746152638737355,False
