model_a,model_b,domain,n,spearman,mean_abs_rank_gap_pp,conflict10_n,conflict20_n,conflict30_n,conflict20_rate,strong_n,top10_jaccard
CRITIC,TOPSIS_GROUP,ALL,261086,0.97242005593833913,3.6714640871398205,11184,6175,4472,0.023651210712179127,0,0.76938194632691781
CRITIC,TOPSIS_GROUP,arxiv,17523,0.96542725086482362,5.5963786276585816,3146,297,20,0.016949152542372881,0,0.65127238454288405
CRITIC,TOPSIS_GROUP,book,171,0.95137398900808812,6.0599842686638627,27,6,3,0.035087719298245612,0,0.41666666666666669
CRITIC,TOPSIS_GROUP,c4,10000,0.9877283571372838,3.2481619999999998,459,2,0,0.00020000000000000001,0,0.75284837861524978
CRITIC,TOPSIS_GROUP,commoncrawl,9640,0.97437252145503883,4.817756667412751,1271,62,2,0.0064315352697095433,0,0.69569041336851367
CRITIC,TOPSIS_GROUP,github,203752,0.9914022082701438,2.6982241050622653,3907,318,64,0.0015607208763594959,0,0.83682668469686727
CRITIC,TOPSIS_GROUP,stackexchange,10000,0.98699226654592298,3.3697620000000001,441,12,0,0.0011999999999999999,0,0.78731009830205545
CRITIC,TOPSIS_GROUP,wikipedia,10000,0.98830217799102194,3.1810040000000002,332,14,7,0.0014,0,0.83486238532110091
CRITIC,BPPGA20,ALL,261086,0.91587919609651536,8.7447100130975297,88167,27471,4860,0.105218203963445,55,0.5741114762005245
CRITIC,BPPGA20,arxiv,17523,0.78242616594599812,14.577565870829833,9582,5084,2304,0.2901329680990698,30,0.43137254901960786
CRITIC,BPPGA20,book,171,0.89335205318357447,9.50035908484662,55,22,8,0.12865497076023391,1,0.47826086956521741
CRITIC,BPPGA20,c4,10000,0.95894200640541982,6.2496600000000004,2121,242,12,0.024199999999999999,0,0.58604282315622525
CRITIC,BPPGA20,commoncrawl,9640,0.96289525546424248,5.8180687315989736,1806,197,24,0.020435684647302905,0,0.64786324786324789
CRITIC,BPPGA20,github,203752,0.86252907472711016,11.360676970672914,91105,38592,12509,0.18940672974989203,129,0.59018184656208539
CRITIC,BPPGA20,stackexchange,10000,0.95116208791962098,6.5622900000000008,2251,399,59,0.039899999999999998,0,0.72265288544358308
CRITIC,BPPGA20,wikipedia,10000,0.95266185339461851,6.4821359999999997,2244,402,40,0.0402,0,0.77304964539007093
CRITIC,GEO_0.001,ALL,261086,0.89553221265117333,7.8153511377458846,63370,14027,7266,0.053725592333560591,2824,0.79227732967221554
CRITIC,GEO_0.001,arxiv,17523,0.93047833886671405,7.9954919163823295,5337,1349,186,0.076984534611653249,1,0.68786127167630062
CRITIC,GEO_0.001,book,171,0.63845729234166149,19.04175643787832,110,68,39,0.39766081871345027,0,0.25925925925925924
CRITIC,GEO_0.001,c4,10000,0.97228446025484461,4.9905840000000001,1321,111,13,0.0111,0,0.7667844522968198
CRITIC,GEO_0.001,commoncrawl,9640,0.96017916554667027,5.9635207727139692,1948,228,37,0.023651452282157676,0,0.71836007130124779
CRITIC,GEO_0.001,github,203752,0.93389625411690791,7.4171744568036191,53336,12480,4578,0.061250932506183992,34,0.76231457855814555
CRITIC,GEO_0.001,stackexchange,10000,0.97025347369853476,5.0663919999999996,1202,207,29,0.0207,0,0.77147918511957481
CRITIC,GEO_0.001,wikipedia,10000,0.97908694394286921,4.2186819999999994,965,47,8,0.0047000000000000002,0,0.8761726078799249
CRITIC,BPPGA15,ALL,261086,0.91633940476288922,8.7171722703752454,87889,27285,4850,0.10450579502539394,53,0.57496606846629472
CRITIC,BPPGA15,arxiv,17523,0.78185576016058278,14.597108264414285,9600,5094,2320,0.29070364663585002,30,0.42962056303549573
CRITIC,BPPGA15,book,171,0.89236566107471138,9.5687561984884226,54,20,8,0.11695906432748537,1,0.47826086956521741
CRITIC,BPPGA15,c4,10000,0.95923448266034494,6.2406899999999998,2115,236,11,0.023599999999999999,0,0.58604282315622525
CRITIC,BPPGA15,commoncrawl,9640,0.96368225576101207,5.7661477075119221,1785,178,20,0.018464730290456432,0,0.64927288280581696
CRITIC,BPPGA15,github,203752,0.86290563261746178,11.33646044733371,90903,38387,12480,0.18840060465664141,129,0.59491193737769077
CRITIC,BPPGA15,stackexchange,10000,0.95254598410545943,6.4700820000000006,2191,387,60,0.038699999999999998,0,0.72265288544358308
CRITIC,BPPGA15,wikipedia,10000,0.95554195026341959,6.260802,2112,357,35,0.035700000000000003,0,0.78412132024977699
CRITIC,BPPGA25,ALL,261086,0.91576176582080293,8.7501403353448701,88216,27519,4883,0.10540205143132914,55,0.57420638509541466
CRITIC,BPPGA25,arxiv,17523,0.78255108012474994,14.57308720208715,9574,5079,2304,0.28984762883067966,30,0.43137254901960786
CRITIC,BPPGA25,book,171,0.89323925408596727,9.5140385075749787,56,22,8,0.12865497076023391,1,0.47826086956521741
CRITIC,BPPGA25,c4,10000,0.95890333908103287,6.2526060000000001,2121,243,12,0.024299999999999999,0,0.58478605388272586
CRITIC,BPPGA25,commoncrawl,9640,0.96286595199387015,5.8203521805754033,1812,197,24,0.020435684647302905,0,0.64786324786324789
CRITIC,BPPGA25,github,203752,0.86232725297603496,11.368245115369231,91138,38645,12551,0.18966684989595195,128,0.58987163981116619
CRITIC,BPPGA25,stackexchange,10000,0.95101819097418205,6.5717720000000002,2248,402,61,0.0402,0,0.72265288544358308
