donor,receiver,model_epsilon_count,median_delta_scalar_loss_z,min_delta_scalar_loss_z,max_delta_scalar_loss_z,improving_fraction,sign_consistent
train_the_pile_freelaw,train_the_pile_uspto_backgrounds,6,-0.0013718220468446618,-0.002601550602687963,1.140691825501916e-05,0.8333333333333334,False
train_the_pile_freelaw,train_the_pile_wikipedia_en,6,-0.0009552311517781187,-0.0018964079155351365,-9.751979991956539e-05,1.0,True
train_the_pile_github,train_the_pile_arxiv,6,-0.07707393143283528,-0.27481867117434366,0.033283474321096185,0.6666666666666666,False
train_the_pile_github,train_the_pile_dm_mathematics,6,-0.008143196343605275,-0.011566951746728282,0.03883607541667211,0.6666666666666666,False
train_the_pile_github,train_the_pile_enron_emails,6,0.3938826085667032,0.20500644939687762,0.7949079062949196,0.0,True
train_the_pile_github,train_the_pile_europarl,6,0.12908362339860247,0.03728124090336929,0.2596284591289031,0.0,True
train_the_pile_github,train_the_pile_freelaw,6,-0.007013513131094273,-0.010956126202208871,0.04491461160248167,0.6666666666666666,False
train_the_pile_github,train_the_pile_gutenberg_pg_19,6,-0.01031622226226081,-0.0232121036001966,0.04778175809947638,0.6666666666666666,False
train_the_pile_github,train_the_pile_hackernews,6,-0.00817433058898867,-0.011491438030272028,0.020213217102774572,0.6666666666666666,False
train_the_pile_github,train_the_pile_nih_exporter,6,0.013703995340051234,-0.03767557253875731,0.09259187713971473,0.16666666666666666,False
train_the_pile_github,train_the_pile_philpapers,6,-0.0027452127837298,-0.020006587542967247,0.007951195358063101,0.6666666666666666,False
train_the_pile_github,train_the_pile_pile_cc,6,-0.00889210456474765,-0.01739075826732367,0.03793491942159166,0.6666666666666666,False
train_the_pile_github,train_the_pile_pubmed_abstracts,6,-0.007476885465178829,-0.011642588887616157,0.0379174565341871,0.6666666666666666,False
train_the_pile_github,train_the_pile_pubmed_central,6,-0.006598195710749155,-0.010285125476345858,0.03244151754243452,0.6666666666666666,False
train_the_pile_github,train_the_pile_stackexchange,6,-0.009160733194931464,-0.012629256420068291,0.03823776815128099,0.6666666666666666,False
train_the_pile_github,train_the_pile_ubuntu_irc,6,-0.027882118825855562,-0.043840682270845754,0.04703075846502447,0.8333333333333334,False
train_the_pile_github,train_the_pile_uspto_backgrounds,6,-0.007981524419368807,-0.01125521486568487,0.04301421833181818,0.6666666666666666,False
train_the_pile_github,train_the_pile_wikipedia_en,6,-0.007604581757534118,-0.01203813634944384,0.04349976796659982,0.6666666666666666,False
train_the_pile_gutenberg_pg_19,train_the_pile_arxiv,6,-0.11254480498388,-0.33102007262624633,0.06199315745259787,0.5,False
train_the_pile_gutenberg_pg_19,train_the_pile_dm_mathematics,6,0.0036546334757324994,-0.09100396185434323,0.056054148516615776,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_enron_emails,6,0.40947371161693713,0.21580389219604082,0.6214511708117804,0.0,True
train_the_pile_gutenberg_pg_19,train_the_pile_europarl,6,0.121735086880392,0.048078683702532515,0.23114873454300938,0.0,True
train_the_pile_gutenberg_pg_19,train_the_pile_freelaw,6,0.005456199733676365,-0.08456904199834248,0.05644842415920387,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_github,6,0.010467221925151787,-0.09556511529504874,0.060851476782723735,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_hackernews,6,0.0035878405515382683,-0.11132180648752976,0.055898404900532994,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_nih_exporter,6,-0.001700553767943036,-0.03488119698899761,0.12452026035543279,0.5,False
train_the_pile_gutenberg_pg_19,train_the_pile_philpapers,6,0.00072432333311373,-0.1287990829414537,0.0728349189452211,0.5,False
train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,6,0.00315450045044538,-0.09419642779103354,0.04749296531983427,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_pubmed_abstracts,6,0.004975608694515993,-0.09028329108324717,0.054834957559605435,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_pubmed_central,6,0.00557405948072523,-0.09739205829110686,0.05515881978411674,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_stackexchange,6,0.0035466374311761417,-0.09015208122483309,0.05347264878536978,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_ubuntu_irc,6,-0.014776410726148659,-0.07856351163672515,0.021043041316312572,0.8333333333333334,False
train_the_pile_gutenberg_pg_19,train_the_pile_uspto_backgrounds,6,0.004437967720245767,-0.08714125279181384,0.05568511023239037,0.3333333333333333,False
train_the_pile_gutenberg_pg_19,train_the_pile_wikipedia_en,6,0.004813891380720692,-0.08607334370593855,0.0545261240867127,0.3333333333333333,False
train_the_pile_hackernews,train_the_pile_arxiv,6,-0.08696276143250795,-0.29058795237007473,0.04071348415174611,0.5,False
train_the_pile_hackernews,train_the_pile_dm_mathematics,6,0.0004199311491107083,-2.680778601810152e-05,0.02031186939884877,0.16666666666666666,False
train_the_pile_hackernews,train_the_pile_enron_emails,6,0.4065169312336582,0.21243645922752724,0.7746885207396691,0.0,True
train_the_pile_hackernews,train_the_pile_europarl,6,0.13810641073523838,0.044711250734018826,0.23945225579966145,0.0,True
train_the_pile_hackernews,train_the_pile_freelaw,6,0.002130925840116926,0.00044022203017041184,0.026134940631208026,0.0,True
