base_model,correction,dataset,role,n,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
quadratic_ridge,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.3779304559085075,0.3124687570134442,0.0385004741910522,-12.165891303029378,-0.6713709677419355,1.0848896285525889,0.9731278478354076,1.2342704721094246,-34.732672369055315,0.5281150798780584
quadratic_ridge,C2_mixture_conditioned,A4_A5_train_1m,base_fit,512,0.1862586606522852,0.1422702277554537,-1.0408340855860844e-16,0.6704891998514552,0.8244339980945514,0.2105913389763387,0.1596561810919655,0.2298343547620112,0.9185218739760276,0.9583181684783614
quadratic_ridge,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2211484392275745,0.1752180355675891,-0.0432882400691827,0.3657966949300859,0.6905320153353169,0.2574294343600347,0.2019101214322161,0.2840065107729149,0.8661472704478559,0.934352551631248
quadratic_ridge,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.2100631859170251,0.1655414791328469,-0.0432882400691826,0.0789382809996898,0.6282594701304646,0.2702935213353087,0.2127601851891096,0.3017246800400876,0.7492403988965394,0.9089313145940804
quadratic_ridge,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,0.1782236549801301,0.1492543530653054,-0.121553172928869,-10.773951513598597,0.4253663003663003,0.5619641670109997,0.5207067682245289,0.6252354554252723,-19.447709496526187,0.7172407720484641
quadratic_ridge,C2_mixture_conditioned,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.4210064455990889,0.3378106186035928,-0.2538482829027324,-18.1865572273578,-0.5577956989247312,0.953081651709087,0.860918378644311,1.066296219724759,-20.65729295468804,0.5285729211248552
quadratic_ridge,C2_mixture_conditioned,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.3517226023393585,0.2872028405357683,0.060703291254216,-10.403207787113692,-0.5948540706605224,1.0451471693559524,0.9480981509516746,1.2199020226013644,-33.971329639651586,0.4180180548452962
ilr_ridge_qproxy,C0_none,A4_A5_train_1m,base_fit,512,0.2792006866480715,0.2160154983995279,6.591949208711867e-17,0.2595944485382246,0.5327906667353315,0.350545899049142,0.271399176981938,0.3758977327398505,0.7632091088053119,0.8887138362568697
ilr_ridge_qproxy,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.2502428318998485,0.2040286649389611,-0.0572181090122147,0.1879476341662609,0.4729064145113297,0.3206281987742405,0.257432026801084,0.3403589354103526,0.7731178930689351,0.8950243850907617
ilr_ridge_qproxy,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.530611847298856,1.5165888977004849,-1.5165888977004849,-47.901139349206815,0.4292379549095902,1.5580240952103817,1.5191594897326413,1.6120958764251363,-7.951637225163434,0.8913739942250472
