check,comparisons,max_absolute_error,tolerance,passed
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 0.5, 10.0)",485,4.440892098500626e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 1.0, 1.0)",510,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 1.0, 1.0)",494,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(0.5, 1.0, 10.0)",408,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(0.5, 1.0, 10.0)",422,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 0.0, 10.0)",512,4.440892098500626e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 0.0, 10.0)",500,4.440892098500626e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 0.5, 10.0)",475,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 0.5, 10.0)",473,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 1.0, 1.0)",501,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 1.0, 1.0)",490,8.881784197001252e-16,2e-10,True
"recipe_backsub_quality_score_soft_proxy_0_1(1.0, 1.0, 10.0)",407,8.881784197001252e-16,2e-10,True
"scale_backsub_quality_score_soft_proxy_0_1(1.0, 1.0, 10.0)",417,8.881784197001252e-16,2e-10,True
cost_D_ratio,1,0.0,2e-10,True
