budget,context,axis,cost,scope,lambda_q,cost_coordinate,Q0,Q_star,Q_B_star,Q_upper,regime,predicted_loss,scale_loss,remaining_p,benefit_vs_same_recipe_no_processing,N_B,D_B,train_share,attention_share,quality_share,utilization,N_outside_B1,D_outside_B1,recipe
3.981071705534986e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.587850603100339,2.775477070709423,0.0,0.17102834551809343,0.4475762272263686,11.881072619297953,0.801445347134226,0.10942400472872633,0.08913064813704753,0.9999999999999998,False,False,reference
3.981071705534986e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.8162893291676951,0.8162893291676951,1.0,interior,2.7214605072188465,2.8425845779628625,0.0,0.037418441399585944,0.6229307874181476,6.422448576854449,0.6029644143666396,0.08232474137485851,0.3147108442585017,0.9999999999999998,False,False,reference
5.011872336272715e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.548661646479972,2.736288114089056,0.0,0.1730892833572777,0.4919764233235399,13.717846103749347,0.8079443859311579,0.11031134015913412,0.08174427390970797,1.0,False,False,reference
5.011872336272715e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.8803625014898502,0.8803625014898502,1.0,interior,2.6740066213709395,2.8183248784671537,0.0,0.04774430846631006,0.7377562463424213,6.454311902056617,0.5700515019653207,0.07783103173499846,0.35211746629968094,1.0000000000000002,False,False,reference
6.309573444801943e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.511011016030066,2.6986374836391502,0.0,0.174901310216514,0.5411695947822074,15.817432271587691,0.8139929097706681,0.11113716528068858,0.07486992494864318,0.9999999999999999,False,False,reference
6.309573444801943e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,0.9516189187294303,0.9516189187294303,1.0,interior,2.6265585551225477,2.7966712993706544,0.0,0.059353771124032395,0.8781916226083906,6.425389365041825,0.5365868068649354,0.0732619853639592,0.3901512077711053,0.9999999999999999,False,False,reference
7.94328234724279e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.4748251788048354,2.6624516464139196,0.0,0.1764931790724975,0.5956849397971357,18.21540052414326,0.819608768033133,0.11190391712879041,0.06848731483807663,1.0,False,False,reference
7.94328234724279e+19,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,2.5791740667074596,2.766800534316544,0.0,0.07214429116987331,1.0079780493084343,6.8450433439715725,0.521168942686503,0.07115693297479721,0.4076741243386997,1.0,False,False,reference
1e+20,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,2.4400352430030345,2.6276617106121187,0.0,0.17789055691637268,0.6561096153611321,20.95206692421032,0.82481115423986,0.11261421625888221,0.06257462950125779,1.0,False,False,reference
1e+20,4096,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,2.5337232684469293,2.7213497360560135,0.0,0.08420253147247792,1.0821788592288084,8.257352106999925,0.5361559130042266,0.07320315398884374,0.39064093300692965,1.0,False,False,reference
