task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
A60M,connection,Q_A_topsis_0_1,affine,0,52,0.13133264116656398,0.17033821891505377,0.2597363602315518,-0.03706151477841701,0.5743191325877229
A60M,connection,Q_A_topsis_0_1,affine,1,51,0.15102764006233593,0.20226144807761282,0.3187258703272705,0.018727177690190555,0.6094117647058824
A60M,connection,Q_A_topsis_0_1,affine,2,51,0.1347247706601474,0.16881924888663757,0.26684602486766773,0.04468711869371688,0.4809049773755656
A60M,connection,Q_A_topsis_0_1,affine,3,51,0.14625756431076978,0.20527179683492075,0.32981453933788074,-0.01218181682147531,0.4161990950226244
A60M,connection,Q_A_topsis_0_1,affine,4,51,0.16093112775463156,0.20469940140643728,-0.18044171251652186,-0.016660800541446075,0.3980090497737556
A60M,connection,Q_A_topsis_0_1,mean,0,52,0.15048716771135978,0.19400361818366876,0.03975539954580465,-0.03654359903685597,0.2269273456842824
A60M,connection,Q_A_topsis_0_1,mean,1,51,0.1851014734686518,0.24699993219491473,-0.015989784448890987,0.017410599638751866,-0.06515837104072397
A60M,connection,Q_A_topsis_0_1,mean,2,51,0.16561213856236157,0.1963733138753198,0.007989647438660041,0.053590069964417085,-0.011493212669683256
A60M,connection,Q_A_topsis_0_1,mean,3,51,0.16807315994188435,0.2443619555904623,0.05026243037452305,-0.02711285256707087,-0.05357466063348416
A60M,connection,Q_A_topsis_0_1,mean,4,51,0.1601007805459735,0.19625833214428656,-0.08509461867102774,-0.006809433623095308,-0.01990950226244344
A60M,connection,Q_A_topsis_0_1,offset,0,52,0.1453882917107152,0.18503794662964923,0.1264579505710005,-0.037329064038190723,0.5708187483992145
A60M,connection,Q_A_topsis_0_1,offset,1,51,0.15329975448444108,0.19341720291802558,0.37700312221883714,0.019729371628755175,0.6880542986425339
A60M,connection,Q_A_topsis_0_1,offset,2,51,0.1391838761948635,0.18207817893587566,0.14716096801672784,0.03992557475040379,0.4886877828054298
A60M,connection,Q_A_topsis_0_1,offset,3,51,0.15646415510253037,0.20015948076106632,0.3627809284619896,-0.0015578436613889284,0.47755656108597283
A60M,connection,Q_A_topsis_0_1,offset,4,51,0.17582746509616395,0.22624045179846533,-0.4419557093164286,-0.020221759693654594,0.42524886877828055
A60M,connection,Q_A_topsis_0_1,raw,0,52,1.4800463407256141,1.4911011881714231,-55.72525371650275,1.4800463407256141,0.5708187483992145
A60M,connection,Q_A_topsis_0_1,raw,1,51,1.5255918495056364,1.5376772930487703,-38.3754994445774,1.5255918495056364,0.6880542986425339
A60M,connection,Q_A_topsis_0_1,raw,2,51,1.5417645902866433,1.5519653551504284,-60.9605566346063,1.5417645902866433,0.4886877828054298
A60M,connection,Q_A_topsis_0_1,raw,3,51,1.5085454466365757,1.5217656703414006,-35.83256798690503,1.5085454466365757,0.47755656108597283
A60M,connection,Q_A_topsis_0_1,raw,4,51,1.4935997326263626,1.5105018979684892,-63.27675638831937,1.4935997326263626,0.42524886877828055
A60M,connection,Q_A_topsis_0_1,selected,0,52,0.13133264116656398,0.17033821891505377,0.2597363602315518,-0.03706151477841701,0.5743191325877229
A60M,connection,Q_A_topsis_0_1,selected,1,51,0.15102764006233593,0.20226144807761282,0.3187258703272705,0.018727177690190555,0.6094117647058824
A60M,connection,Q_A_topsis_0_1,selected,2,51,0.1347247706601474,0.16881924888663757,0.26684602486766773,0.04468711869371688,0.4809049773755656
A60M,connection,Q_A_topsis_0_1,selected,3,51,0.14625756431076978,0.20527179683492075,0.32981453933788074,-0.01218181682147531,0.4161990950226244
A60M,connection,Q_A_topsis_0_1,selected,4,51,0.16093112775463156,0.20469940140643728,-0.18044171251652186,-0.016660800541446075,0.3980090497737556
A60M,connection,quality_score_soft_proxy_0_1,affine,0,52,0.14816852554108673,0.1827162636121234,0.14824120643064653,-0.020146368514530374,0.4715273627593272
A60M,connection,quality_score_soft_proxy_0_1,affine,1,51,0.16299159332753685,0.1934177300904406,0.37699972616914523,0.02578847339098992,0.5654298642533937
A60M,connection,quality_score_soft_proxy_0_1,affine,2,51,0.14660321909618929,0.17912160328320345,0.17463280762726208,0.03338769987514423,0.474027149321267
A60M,connection,quality_score_soft_proxy_0_1,affine,3,51,0.1647312150334924,0.2280170620660422,0.1730654733546334,0.0026000104695243598,0.3598190045248868
A60M,connection,quality_score_soft_proxy_0_1,affine,4,51,0.14466601024346373,0.2104066612999894,-0.24718354523669062,-0.04345804939851485,0.42153846153846153
A60M,connection,quality_score_soft_proxy_0_1,mean,0,52,0.17582703108948697,0.21907607089899814,-0.22448114226403848,-0.01722148464547061,0.009305899427985998
A60M,connection,quality_score_soft_proxy_0_1,mean,1,51,0.20425590505564672,0.24837472025266596,-0.027331146240361814,0.024882268977117063,0.010678974640168456
A60M,connection,quality_score_soft_proxy_0_1,mean,2,51,0.16884578008617954,0.21375158600194252,-0.1753574323492928,0.042789334331943776,0.06850678733031675
A60M,connection,quality_score_soft_proxy_0_1,mean,3,51,0.18545814154359833,0.2698059232624598,-0.15781559171434556,-0.012822870417292109,-0.11755656108597284
A60M,connection,quality_score_soft_proxy_0_1,mean,4,51,0.17582663489153874,0.20719777254412033,-0.20943231016028596,-0.03737522651977973,-0.1106787330316742
A60M,connection,quality_score_soft_proxy_0_1,offset,0,52,0.15053420263869058,0.1904334743456086,0.07477193804086346,-0.021289553871486865,0.5141295995901989
A60M,connection,quality_score_soft_proxy_0_1,offset,1,51,0.1553931129815137,0.18562381591198585,0.4261966680140251,0.026272865754014347,0.6487782805429864
A60M,connection,quality_score_soft_proxy_0_1,offset,2,51,0.15580691221943252,0.18862071127668378,0.08477047316432784,0.029881260290857446,0.488868778280543
A60M,connection,quality_score_soft_proxy_0_1,offset,3,51,0.17456702402539814,0.22370776571056927,0.2040266000849177,0.010349450093779744,0.4109502262443439
A60M,connection,quality_score_soft_proxy_0_1,offset,4,51,0.15284356545076228,0.225747873687874,-0.43568359842431703,-0.0449024678202655,0.44588235294117645
A60M,connection,quality_score_soft_proxy_0_1,raw,0,52,1.4868941207409017,1.4988881844024093,-56.319274750878535,1.4868941207409017,0.5141295995901989
A60M,connection,quality_score_soft_proxy_0_1,raw,1,51,1.5248980522618238,1.5359296882835174,-38.286048027010835,1.5248980522618238,0.6487782805429864
A60M,connection,quality_score_soft_proxy_0_1,raw,2,51,1.5277875869495308,1.5390970709617444,-59.937311505885404,1.5277875869495308,0.488868778280543
A60M,connection,quality_score_soft_proxy_0_1,raw,3,51,1.5121468795651518,1.528569997972156,-36.16268604668587,1.5121468795651518,0.4109502262443439
A60M,connection,quality_score_soft_proxy_0_1,raw,4,51,1.4679021796730454,1.484480609488424,-61.08125108866771,1.4679021796730454,0.44588235294117645
A60M,connection,quality_score_soft_proxy_0_1,selected,0,52,0.15053420263869058,0.1904334743456086,0.07477193804086346,-0.021289553871486865,0.5141295995901989
A60M,connection,quality_score_soft_proxy_0_1,selected,1,51,0.1553931129815137,0.18562381591198585,0.4261966680140251,0.026272865754014347,0.6487782805429864
A60M,connection,quality_score_soft_proxy_0_1,selected,2,51,0.15580691221943252,0.18862071127668378,0.08477047316432784,0.029881260290857446,0.488868778280543
A60M,connection,quality_score_soft_proxy_0_1,selected,3,51,0.17456702402539814,0.22370776571056927,0.2040266000849177,0.010349450093779744,0.4109502262443439
